Sentence,data,class
one thing i learned  there are all beautiful and yes black are to,thing i learn be be  beautiful yes black,racism
little bit ugly but black is beautiful,bit  ugly little black beautiful,racism
black is beautiful,   black beautiful,racism
you're a black beauty,beauty be  black,racism
beautiful with your black colour,colour   beautiful black,racism
real africanâ,african   real,racism
black fine pass white,pas   black fine white,racism
dark 'n' lovely,  lovely dark,racism
â black is pretty,   black pretty,racism
real thing. black girls nice,thing girl   real black nice,racism
looks like she's wearing a condom!,look condom wear  ,harassment
go beyonce and her friend sumthin big brandon would neva an will neva giv a fuk about duuuh,friend sustain brandon fur dutch go Neva Neva give  big,harassment
that actually looks a bit uncomfortable,bit look actually uncomfortable,harassment
â my girl love you chica,girl chica  ,harassment
wow absolutely stunning cute butt,wow cute butt stun absolutely ,harassment
â dat booty tho,dat booty tho   ,harassment
that ass nice,as nice   ,harassment
wow awesome,wow awesome   ,harassment
that dress is fucking awesome,dress fuck  awesome,harassment
hot as alwyz,Alwyn   hot,harassment
my star i love uâ,star i love  ,harassment
hi beyonce,hi   ,harassment
wish i cn touch them 1day,i CN touch  wish,harassment
â sexy bathin suit love it wow,sexy bathing suit love wow  ,harassment
wow beyonce are sexy,wow be  sexy,harassment
very nice and beautiful,  very nice beautiful,harassment
beyonce it's beautiful,   beautiful,harassment
just move your body,body move just ,harassment
wow! you are so sexy!,wow be so sexy,harassment
